date,close_price_USD,volume,trend_sma_fast,trend_sma_slow,trend_adx,volume_obv,trend_ema_fast,trend_ema_slow,trend_macd,momentum_rsi,trend_aroon_ind
2021-06-07,36207.11,2791.886389,36207.11,36207.11,0.0,2791.886389,36207.11,36207.11,0.0,100.0,0.0
2021-06-06,35796.31,47650.206637,36001.71,36001.71,0.0,-44858.320248,36143.91,36176.68037037037,-32.770370370366436,0.0,-4.0
2021-06-05,35513.2,70459.62149,35838.87333333333,35838.87333333333,0.0,-115317.94173800001,36046.877692307695,36127.53367626886,-80.65598396116548,0.0,-8.0
2021-06-04,36829.0,91317.799245,36086.405,36086.405,0.0,-24000.142493000007,36167.204201183435,36179.49414469339,-12.289943509953446,68.07394690884217,4.0
2021-06-03,39246.79,75889.106011,36718.482,36718.482,0.0,51888.96351799999,36640.9866317706,36406.70124508647,234.28538668412511,86.39756028596959,8.0
2021-06-02,37568.68,67587.372495,36860.181666666664,36860.181666666664,0.0,-15698.408977000014,36783.70868842128,36492.77374545043,290.93494297084544,60.46035778108745,8.0
2021-06-01,36693.09,81234.66377,36836.311428571425,36836.311428571425,0.0,-96933.07274700001,36769.76735174108,36507.61198652818,262.1553652129005,51.7334885210517,8.0
2021-05-31,37253.81,94160.735289,36888.49875,36888.49875,0.0,-2772.337458000009,36844.23545147322,36562.88591345202,281.34953802120435,56.10317981228988,8.0
2021-05-30,35641.27,73535.386967,36749.91777777778,36749.91777777778,0.0,-76307.72442500001,36659.16384355426,36494.61806801113,164.54577554313437,43.81744739758183,8.0
2021-05-29,34605.15,112663.092689,36535.441,36535.441,0.0,-188970.817114,36343.16171377668,36354.65747038068,-11.495756603995687,38.05151239986803,-20.0
2021-05-28,35663.49,135377.62972,36456.17272727272,36456.17272727272,0.0,-53593.18739400001,36238.59683473412,36303.4598799821,-64.8630452479847,45.88476377759186,-20.0
2021-05-27,38529.98,86547.158794,36628.99,36628.99,0.0,32953.971399999995,36591.1173216981,36468.387296279725,122.73002541837195,60.46594289059838,-20.0
2021-05-26,39241.91,104780.773396,36881.89,36829.983846153846,0.0,137734.744796,36998.93157989839,36673.83342248123,325.0981574171601,63.12356690555865,-20.0
2021-05-25,38324.72,111996.228404,37092.590833333335,36936.750714285714,0.0,25738.51639200002,37202.89902914479,36796.12131711225,406.7777120325409,57.73846315975415,-20.0
2021-05-24,38796.29,161630.893971,37366.181666666664,37060.72,0.0,187369.41036300003,37448.03610158405,36944.28196028912,503.75414129493583,59.64469080328955,-20.0
2021-05-23,34655.25,217136.046593,37185.035833333335,36910.378125,0.0,-29766.636229999975,37018.376701340356,36774.72403730474,243.6526640356169,41.810230277365505,-20.0
2021-05-22,37449.73,126542.243689,37035.28083333333,36942.10470588235,0.0,96775.60745900002,37084.73874728799,36824.724478985874,260.0142683021186,52.197768202238215,-20.0
2021-05-21,37252.01,202100.888258,37008.89166666666,36959.32166666667,0.0,-105325.28079899997,37110.47278616676,36856.37525832025,254.0975278465121,51.497305891345725,-20.0
2021-05-20,40526.64,203017.596923,37328.354166666664,37147.075263157894,0.0,97692.31612400003,37636.03697291034,37128.2467206669,507.79025224343786,60.86433506838469,36.0
2021-05-19,36690.09,354347.243161,37281.3775,37124.226,0.0,-256654.927037,37490.50666938567,37095.790667284164,394.7160021015079,48.93935721455794,36.0
2021-05-18,42849.78,116979.860784,37882.08666666666,37396.87142857143,0.0,-139675.066253,38315.01025871096,37522.01209933719,792.9981593737684,61.85986544333183,44.0
2021-05-17,43538.04,166657.172736,38626.49416666667,37676.01545454545,0.0,26982.10648300001,39118.55329583235,37967.64379568258,1150.9095001497699,62.98687457718583,48.0
2021-05-16,46431.5,114269.812775,39523.82833333334,38056.68869565217,0.0,141251.919258,40243.62201955046,38594.5961071135,1649.025912436955,67.35425865473505,52.0
2021-05-15,46762.99,89437.449359,40209.9125,38419.45125,0.0,230689.368617,41246.60170885039,39199.662321401396,2046.9393874489906,67.82269749070525,56.0
2021-05-14,49841.45,80082.204306,41093.2075,38876.3312,0.0,310771.57292299997,42568.886061334946,39987.94289018648,2580.943171148465,71.86086936905815,60.0
2021-05-13,49670.97,147332.002121,42038.72833333333,39291.50961538462,0.0,163439.57080199997,43661.51435959111,40705.204157580076,2956.310202011031,71.3270259567932,60.0
2021-05-12,49631.32,99842.789836,42941.6475,39807.82538461538,0.0,63596.78096599998,44579.945996577095,41366.397923685254,3213.548072891841,71.19455440146591,60.0
2021-05-11,56670.02,64329.54055,44776.21166666667,40610.66038461538,13.035899305459818,127926.32151599997,46439.95738171908,42499.99955896783,3939.957822751254,78.74231906435708,72.0
2021-05-10,55816.14,89586.34925,46306.74583333334,41391.542692307696,14.577678460280664,38339.97226599997,47882.44701530076,43486.38033237762,4396.066682923134,76.13602728543785,72.0
2021-05-09,58240.84,69806.11991,48055.815,42215.075,16.009330532614307,108146.09217599996,49476.045936023715,44579.30327072002,4896.742665303696,78.32948799635702,80.0
2021-05-08,58862.05,69709.906028,49583.76583333333,42969.50807692308,17.379431895413212,177855.99820399994,50920.04656125084,45637.28450992594,5282.7620513248985,78.86546351425524,84.0
2021-05-07,57314.75,74542.747829,51302.487499999996,43728.97230769231,17.954255600540186,103313.25037499995,51903.84709028917,46502.28195363513,5401.5651366540405,73.95879861597552,84.0
2021-05-06,56393.68,70181.671908,52431.145833333336,44486.6873076923,18.470562381087518,33131.57846699994,52594.59061486006,47234.97810521771,5359.612509642349,71.12213951915673,84.0
2021-05-05,57436.11,77263.923439,53589.31833333333,45262.92961538462,18.020993446927925,110395.50190599995,53339.43975103543,47990.617504831214,5348.822246204218,72.41181197168441,84.0
2021-05-04,53200.01,85324.625903,54153.36083333333,45938.26576923078,17.603536579494016,25070.876002999954,53317.98902010691,48376.498430399275,4941.490589707631,60.57324271838762,60.0
2021-05-03,57169.39,57649.931286,55020.56083333333,46806.12115384615,17.751377680702074,82720.80728899996,53910.51224778277,49027.82373185118,4882.688515931586,66.1567051502782,60.0
2021-05-02,56578.21,36812.878863,55581.9575,47610.533461538456,17.715890282589502,45907.92842599996,54320.927286585415,49587.11160356591,4733.815683019508,64.68739347208637,60.0
