,date,target,volume,trend_sma_fast,trend_sma_slow,trend_adx,volume_obv,trend_ema_fast,trend_ema_slow,trend_macd,momentum_rsi,trend_aroon_ind
754,2019-05-25,8025.41,28414.328817,8369.285,8384.51,14.877568168818268,-3858325.730710003,8428.439257855487,8723.627358934224,-295.1881010787365,40.35569006607773,-32.0
755,2019-05-24,7964.87,46664.785325,8384.9825,8334.870769230769,15.200165770286816,-3904990.516035003,8357.120910493104,8667.42311012428,-310.30219963117634,39.71631313514038,-32.0
756,2019-05-23,7851.51,49648.184701,8398.689166666667,8287.56153846154,16.01814572800697,-3954638.700736003,8279.334616571088,8606.985101966926,-327.6504853958377,38.48670968649234,-28.0
757,2019-05-22,7628.43,49136.994589,8358.073333333332,8222.733461538463,16.566954644655635,-4003775.695325003,8179.195444790921,8534.499538858265,-355.3040940673436,36.11700945369132,-24.000000000000004
758,2019-05-21,7904.87,52301.752247,8289.647500000001,8182.408076923077,16.99947152364287,-3951473.943078003,8136.991530207702,8487.860313757652,-350.8687835499495,40.967634918308676,52.0
759,2019-05-20,7938.15,65859.208564,8239.154166666667,8148.925384615384,17.800169671723157,-3885614.7345140027,8106.400525560363,8447.141031257086,-340.7405056967227,41.54309530893554,52.0
760,2019-05-19,8148.48,65577.442058,8205.2775,8129.636153846154,19.054119077507835,-3820037.292456003,8112.874290858769,8425.01799190471,-312.14370104594036,45.18027449497582,52.0
761,2019-05-18,7257.45,37054.944779,8120.936666666666,8092.671153846153,20.3525957708458,-3857092.2372350027,7981.270553803573,8338.531473985842,-357.2609201822688,35.19095824953918,-36.0
762,2019-05-17,7355.26,88752.008159,8013.401666666668,8062.964230769231,20.14189296286005,-3768340.2290760027,7884.961237833793,8265.696549986891,-380.73531215309777,36.841751152402345,-36.0
763,2019-05-16,7866.59,69630.513996,7942.6475,8062.259999999999,18.970848449311784,-3698709.715080003,7882.134893551671,8236.133101839714,-353.9982082880433,44.762938069180265,-35.99999999999999
764,2019-05-15,8169.87,37884.327211,7893.776666666666,8069.456923076922,17.883449972445536,-3660825.3878690028,7926.4018330052595,8231.224723925661,-304.82289092040173,48.859786520706926,-36.0
765,2019-05-14,7947.56,76583.722603,7838.204166666667,8081.742692307694,17.41541069689732,-3737409.110472003,7929.656935619835,8210.21252215339,-280.55558653355456,46.15732292941142,-36.0
766,2019-05-13,7790.71,85804.735333,7818.645833333333,8077.784615384615,18.236030917831723,-3823213.845805003,7908.280483986015,8179.138261253139,-270.8577772671242,44.29574794822044,-36.0
767,2019-05-12,6967.31,86948.975339,7735.515833333334,8038.8146153846155,19.17026785750523,-3910162.821144003,7763.515794142013,8089.373204864018,-325.8574107220047,36.071207743139894,-60.0
768,2019-05-11,7076.22,74022.424393,7670.908333333333,8011.488461538462,20.542961955344193,-3836140.396751003,7657.7779796586265,8014.324819318535,-356.546839659909,37.71842452185383,-60.0
769,2019-05-10,6373.33,36623.61079,7566.316666666667,7957.5203846153845,22.063010979687014,-3872764.0075410027,7460.170598172685,7892.769647517162,-432.59904934447786,31.989579442163844,-68.0
770,2019-05-09,6209.18,27453.011436,7425.009166666667,7900.680000000001,23.695956477697543,-3900217.0189770027,7267.710506146117,7768.059303256632,-500.3487971105151,30.812570741005814,-72.0
771,2019-05-08,5987.29,23074.05152,7262.4375,7818.8134615384615,25.450541430462312,-3923291.070497003,7070.722735969792,7636.150465978362,-565.4277300085705,29.24610567446254,-76.0
772,2019-05-07,5846.34,39905.064422,7070.5925,7708.058076923076,27.10746804673308,-3963196.134919003,6882.356161205209,7503.571912942928,-621.2157517377191,28.263168715804454,-80.0
773,2019-05-06,5747.79,25256.596325,6944.787500000001,7600.508846153846,28.795209167409755,-3988452.731244003,6707.807521019792,7373.5139934656745,-665.7064724458824,27.565577587743917,-84.0
774,2019-05-05,5775.62,23822.543775,6813.150833333333,7493.609615384616,30.235934204248117,-3964630.187469003,6564.394056247516,7255.15147543118,-690.7574191836638,28.10523559280668,-84.0
775,2019-05-04,5829.45,39682.408991,6643.389166666667,7399.76,31.711738781554793,-3924947.7784780026,6451.325739901744,7149.5439587325745,-698.2182188308307,29.203934272930027,-84.0
776,2019-05-03,5772.69,46297.172849,6443.624166666667,7289.260384615385,33.221122843133934,-3971244.9513270026,6346.920241455321,7047.5547766042355,-700.6345351489144,28.705791815251374,-84.0
777,2019-05-02,5492.87,22795.787835,6239.066666666666,7165.307692307692,34.75778154736698,-3994040.7391620027,6215.527896616041,6932.392941300218,-716.8650446841766,26.322081503844558,-96.0
778,2019-05-01,5383.2,17217.473216,6038.440833333334,7035.572307692308,36.25304398600202,-4011258.2123780027,6087.477450982804,6817.637908611313,-730.160457628509,25.430754698244613,-56.0
779,2019-04-30,5320.81,22238.06823,5901.232499999999,6908.8946153846155,37.799382410295735,-4033496.2806080026,5969.528612370065,6706.761767232698,-737.2331548626325,24.913897887192917,-60.0
780,2019-04-29,5238.14,19918.135079,5748.059166666666,6801.691923076923,39.25255311953841,-4053414.4156870027,5857.007287390055,6597.974969659906,-740.9676822698502,24.211708805535437,-64.0
781,2019-04-28,5307.52,14371.433869,5659.241666666668,6699.486153846155,40.56017713696188,-4039042.9818180026,5772.4707816377395,6502.385712648061,-729.9149310103212,26.09432259530891,-64.0
782,2019-04-27,5295.69,15422.896935,5583.1175,6601.185384615384,41.76041868433764,-4054465.8787530027,5699.11989215501,6413.000845044501,-713.8809528894908,25.975837475716617,-64.0
783,2019-04-26,5314.1,48912.294513,5527.018333333333,6512.172692307692,41.950295467282544,-4005553.5842400026,5639.886062592701,6331.600782448612,-691.7147198559114,26.534890040614485,-64.0
784,2019-04-25,5219.9,49636.089948,5474.815,6408.904615384615,42.247968933916226,-4055189.6741880025,5575.272822193824,6249.252576341307,-673.9797541474827,25.474732113434698,-80.0
785,2019-04-24,5415.0,48224.152413,5447.0825,6311.860384615385,42.028392130339846,-4006965.5217750026,5550.615464933236,6187.456089204914,-636.8406242716783,31.572552950857173,-80.0
786,2019-04-23,5493.31,41262.103917,5423.556666666666,6209.738461538462,41.72527966481926,-3965703.4178580027,5541.799239558892,6136.0378603749205,-594.2386208160287,33.9100505415809,-80.0
787,2019-04-22,5357.14,29563.852309,5384.197499999999,6136.649615384616,41.75353093184022,-3995267.270167003,5513.390125780601,6078.341722569371,-564.9515967887701,31.87127608421676,-80.0
788,2019-04-21,5256.14,25549.570939,5341.151666666667,6055.914230769232,41.88541786298503,-4020816.841106003,5473.813183352816,6017.437891267937,-543.6247079151208,30.41080397269019,-80.0
789,2019-04-20,5291.73,19168.908274,5324.39,5956.881153846154,41.88518673448867,-4001647.932832003,5445.800385913921,5963.6817511740155,-517.8813652600948,31.600236237958924,-76.0
790,2019-04-19,5258.68,24611.236323,5314.013333333333,5844.912307692308,42.0339442316792,-4026259.169155003,5417.012634234857,5911.459399235199,-494.44676500034257,31.06916156673698,-72.0
791,2019-04-18,5258.44,22619.239001,5308.815833333334,5741.484615384615,42.172076193356126,-4048878.408156003,5392.61684435257,5863.087591884444,-470.4707475318737,31.06507872844351,-64.0
792,2019-04-17,5202.82,23307.536134,5305.8725,5641.950384615384,42.45160119609268,-4072185.944290003,5363.4173298367905,5814.178881374485,-450.7615515376947,30.078584680719686,-96.0
793,2019-04-16,5173.72,24242.229493,5294.7225,5572.966153846153,43.09846266918673,-4096428.173783003,5334.233125246515,5766.737482754153,-432.5043575076379,29.549866527401647,-96.0
794,2019-04-15,5024.95,29057.191581,5272.160833333333,5494.071153846154,43.83520024169592,-4125485.365364003,5286.6511059778195,5711.7902618094,-425.13915583158087,26.942446968300132,-96.0
