,target,5. volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_mfi,volume_em,volume_sma_em,volume_vpt,volume_nvi,volume_vwap,volatility_atr,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,trend_stc,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_kama,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,others_dr,others_dlr,others_cr
0,38595.01,1766.451386,1457.7003094968857,1766.451386,0.8252139408137019,0.0,50.0,0.0,0.0,2646.5319913244857,1000.0,38479.93666666667,0.0,38595.01,38595.01,38595.01,0.0,0.0,0.0,0.0,38479.93666666667,38898.276666666665,38061.59666666667,2.174327902999822,0.6375356568022836,0.0,0.0,38213.23,38631.57,38422.4,1.0839225070805694,0.9126069704068509,0.0,0.0,0.0,0.0,38595.01,38595.01,38595.01,38595.01,0.0,0.0,0.0,0.0,0.0,0.0,143.93801382400227,1.0,0.0,-23446.200319999996,1547.7255847338618,1547.7255847338618,0.0,38422.4,38422.4,38422.4,38422.4,15355.59462000001,16057.512430000028,4.0,4.0,0.0,-1.0,-1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,91.26069704068509,91.26069704068509,-8.739302959314905,0.0,38595.01,0.0,0.0,0.0,0.0,154.77255847338617,0.0,0.0
1,38349.01,87771.976937,-69350.55370396019,-86005.525551,-0.7745339627113592,-21591906.326502,100.0,2470068344.5994825,2470068344.5994825,2174.5338702932595,1000.0,38987.17819766843,0.0,38472.01,38718.01,38226.01,1.2788518198035403,0.25,0.0,0.0,38738.66166666667,40153.39666666667,37323.92666666667,7.303995229227701,0.3622881081380367,0.0,0.0,38116.01,40527.14,39321.575,6.2672316835018425,0.09663518765060376,0.0,-19.623931623937096,-3.9247863247874193,-15.699145299149677,38472.01,38472.01,38557.163846153846,38576.78777777778,0.0,0.0,0.0,0.089361234306796,0.01991048829004223,0.06945074601675377,-0.0012448986280868951,2.6401874825821308,66.66666666666667,-23323.200319999996,1539.6061349158083,1543.665859824835,-4.059724909026727,39321.575,39321.575,39321.575,39321.575,15355.59462000001,16057.512430000028,4.0,8.0,-4.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,8.234757746150356,9.663518765060376,50.46210790287273,-90.33648123493963,0.0,38488.09534089274,0.0,84.31418006325919,16.862836012651837,67.45134405060735,-0.6373880975804935,-0.6394280885750447,-0.6373880975804935
2,40144.04,80679.622838,-93609.30057527637,-5325.902713000003,-0.5499375650044097,2181557.9176975787,100.0,2478699428.250293,2474383886.4248877,3216.981645611161,1046.8077272398948,39622.13586960035,0.0,39029.35333333333,40618.50302096156,37440.20364570511,8.143356483803176,0.8507179579572256,0.0,0.0,39268.04555555555,40819.06888888889,37717.02222222223,7.899671661218675,0.782392413324249,0.0,0.0,38116.01,41330.0,39723.005000000005,8.23480207973383,0.6310007187327901,0.0,108.41810407382582,18.543791754935228,89.87431231889059,39029.35333333333,39029.35333333333,38801.29863905325,38692.88053497943,0.0,0.0,0.0,0.19144321772897988,0.05320541532897326,0.1382378024000066,0.005816076856637229,4.331363484214851,100.00000000000036,-23880.543653333327,1576.3973643989511,1554.5763613495403,21.82100304941082,39723.005000000005,39723.005000000005,39723.005000000005,39723.005000000005,15355.59462000001,16057.512430000028,12.0,8.0,4.0,38213.23,-1.0,1.0,0.0,0.0,88.71098352820242,0.0,0.0,0.0,-85.00081261648724,34.90308856785868,63.10007187327901,54.674762559674825,-36.89992812672099,0.0,39209.81825062196,0.0,85.79975619518798,30.650220049159067,55.149536146028915,4.680772723989479,4.574527341953072,4.013549938191496
3,40516.29,108522.391949,-36023.457041249814,103196.489236,-0.12923656373407494,7640972.558457246,60.537683930526285,-1120919366.8728466,1275949468.6589763,4782.742557381351,1046.8077272398948,39809.52525015,0.0,39401.0875,41285.83762542114,37516.33737457886,9.566995456260633,0.7958488992674329,0.0,0.0,39476.89583333333,41223.675833333335,37730.11583333334,8.849631984108845,0.7975171935408769,0.0,0.0,38116.01,41330.0,39723.005000000005,8.157109876726112,0.7468224854464389,0.0,237.19556105555966,62.274145615060114,174.92141544049954,39401.0875,39401.0875,39065.14346381429,38827.94790275873,0.0,0.0,0.0,0.2270359774381398,0.1325357824695863,0.0945001949685535,0.020009268352673235,6.067793380283662,56.58103816050561,-24252.277819999996,1600.9362010811124,1566.1663212824333,34.769879798679085,39723.005000000005,39723.005000000005,39723.005000000005,39723.005000000005,15355.59462000001,16057.512430000028,16.0,8.0,8.0,38116.01,-1.0,0.0,0.0,0.0,90.57771306178634,0.0,0.0,0.0,-71.76242868731609,46.833020034354455,74.6822485446439,49.14861306099442,-25.317751455356102,0.0,39778.19237547453,0.0,84.6189631538934,41.44396867010593,43.17499448378747,0.9272858436769171,0.9230129428557277,4.978052862274152
4,39020.57,86921.025555,37381.659270733246,16275.463680999994,0.10223023882502748,-12023382.9989116,46.66501250724377,-15043852728.964739,-2804001080.7469525,-2202.508077827148,1008.1632399537376,39312.633728163404,0.0,39324.984000000004,41038.02057626334,37611.94742373667,8.712204822579645,0.4111478399766497,0.0,0.0,39125.354666666666,41447.37866666667,36803.33066666667,11.869663647947853,0.47743678216360597,0.0,0.0,34757.0,41330.0,38043.5,16.714564969689498,0.6486490187129165,0.0,216.0698015847738,93.03327680900287,123.03652477577094,39324.984000000004,39324.984000000004,39058.28600784286,38842.21620625808,0.0,0.0,0.0,0.20924864472891663,0.28249534085226424,-0.07324669612334761,0.030757363681053577,8.056684845930263,-107.52710701431018,-24176.17432,1595.9124730386065,1572.115551633668,23.79692140493853,38043.5,38043.5,38043.5,38043.5,15355.59462000001,16057.512430000028,16.0,8.0,8.0,38116.01,41330.0,0.0,1.0,0.0,52.798791733340664,0.0,0.0,0.0,-64.19389799998682,58.09843352177104,64.86490187129165,67.54907409640485,-35.13509812870836,0.0,39497.55942892892,0.0,78.56876653302581,48.86892824268991,29.699838290335897,-3.6916509384250173,-3.7615172483382864,1.102629588643711
5,35546.11,87717.54999,7611.0530918601,-71442.086309,0.01678739592855257,-53844488.10453214,38.25250836819906,-3383352215.9343653,-2919871307.7844353,-11019.34537479225,1008.1632399537376,38646.57627997149,0.0,38695.17166666667,41916.76807694562,35473.57525638772,16.651154505946504,0.011257577668768615,0.0,0.0,38582.80111111111,40995.03277777778,36170.569444444445,12.504181123189575,-0.1294360432029631,0.0,1.0,34600.36,41330.0,37965.18,17.39142045413676,0.1405350063302049,0.0,-80.10895357421396,58.4048307323595,-138.51378430657346,38695.17166666667,38695.17166666667,38517.95123740549,38598.060190979704,0.0,0.0,0.0,0.2522970772088946,0.3678078603682596,-0.11551078315936497,0.02109890265675387,9.8179611554907,-147.4633522170473,-23546.361986666663,1554.3374353533136,1569.152532253609,-14.81509690029543,37965.18,37965.18,37965.18,37965.18,15355.59462000001,16057.512430000028,16.0,24.0,-8.0,38116.01,41198.54,0.0,0.0,0.0,25.83872445096104,0.0,0.0,0.0,-63.36608814033553,49.24489781439763,14.053500633020489,51.200217016318675,-85.94649936697952,20.843166666658362,38467.37552973178,0.0,72.7997096303415,53.65508452022023,19.144625110121268,-8.904175413121852,-9.325821606697815,-7.899725897207954
6,37331.98,78466.0053,54718.19720384912,7023.918990999999,0.10288372503129577,-26133834.82029738,47.05533421792914,1725697155.7592518,-2145609897.1938207,-3868.318610170171,1058.8143093769793,38401.147149262964,0.0,38500.43,41631.914946611934,35368.945053388066,16.2672725816929,0.31343515617659523,0.0,0.0,38354.26523809524,40670.98238095238,36037.5480952381,12.080623255199635,0.2793677054518447,0.0,0.0,34600.36,41330.0,37965.18,17.4793891912376,0.4059087856111178,0.0,-168.7823491708623,12.967394751715148,-181.74974392257744,38500.43,38500.43,38335.494123958495,38504.27647312936,0.0,0.0,0.0,0.3106933551160893,0.3848530118716624,-0.07415965675557307,0.007189358554530277,11.307372668733823,-71.25011192002275,-23351.620319999995,1541.4821899062886,1565.1996262039918,-23.717436297703216,37965.18,37965.18,37965.18,37965.18,15355.59462000001,16057.512430000028,16.0,24.0,-8.0,38116.01,40934.6128,0.0,0.0,0.0,42.181065827792175,0.0,0.0,0.0,-55.18719301264059,52.836794846101604,40.59087856111178,39.83642702180797,-59.409121438888214,-236.3218571428588,38163.13655040392,0.0,66.50797772486975,56.22566316115014,10.28231456371961,5.0240940569868275,4.901960505525693,-3.2725214995410035
7,36675.72,109527.284943,17458.704877503296,-102503.36595200001,0.027220858517419764,-32668769.276925385,39.245650921076745,811050630.4089442,-1723229821.821997,2016.8224705783425,1058.8143093769793,38158.953921866036,0.0,38272.34125,41440.48086261869,35104.2016373813,16.55576590898366,0.2480191144921997,0.0,0.0,38182.84541666666,40548.597916666666,35817.09291666667,12.391703521222423,0.18147018408166815,0.0,0.0,34600.36,41330.0,37965.18,17.583559772424426,0.30839093918842625,0.0,-288.6835867560294,-47.36280154983376,-241.32078520619564,38272.34125,38272.34125,38080.144258734115,38368.827845490145,0.0,0.0,0.0,0.3477363569584771,0.4033648298381124,-0.05562847287963529,-0.012302526911218265,12.725887164940655,-61.818238019448344,-23123.531569999992,1526.4256438925693,1560.352878415064,-33.9272345224947,37965.18,37965.18,37965.18,37965.18,15355.59462000001,16057.512430000028,16.0,24.0,-8.0,38116.01,40681.242688000006,0.0,0.0,0.0,38.797664995325555,0.0,0.0,0.0,-50.91412763069057,51.04699424058601,30.839093918842625,28.494491037658292,-69.16090608115738,-749.5764999999956,37792.611540028745,0.0,63.63194290723215,57.70691911036654,5.925023796865609,-1.7579030096983916,-1.773537623175514,-4.972896755305934
8,37388.05,136607.597517,146263.29892829218,34104.23156499998,0.18800395450094123,-14100417.960323924,32.69837990017733,-8164235366.017679,-2528355514.8464575,727.8620858134811,1058.8143093769793,37740.03644508602,0.0,38174.08666666667,41212.31001860554,35135.8633147278,15.917726485342856,0.3706420536585879,0.0,0.0,37915.10925925926,40588.885925925926,35241.3325925926,14.104016677803457,0.4014391766840551,0.0,0.0,32396.82,41330.0,36863.41,23.40116235917803,0.5587293662503166,0.0,-322.509415784225,-102.392124396712,-220.11729138751298,38174.08666666667,38174.08666666667,37973.66821892887,38296.177634713094,0.0,0.0,0.0,0.34707703879340807,0.4816542565444845,-0.13457721775107645,-0.031077430104384247,14.278661992342212,-102.85764848483426,-23025.276986666664,1519.939683252173,1555.862523396965,-35.92284014479196,36863.41,36863.41,36863.41,36863.41,15355.59462000001,16057.512430000028,16.0,24.0,-8.0,38116.01,40438.007380480005,0.0,0.0,0.0,44.04418256391568,0.0,0.0,0.0,-45.81021464442999,62.200627518281685,55.87293662503166,42.43430303499535,-44.127063374968344,-1383.343555555548,37691.421640902845,0.0,62.19316049061724,58.604167386416684,3.5889931042005543,1.9422386254448476,1.923617890874496,-3.127243651446132
9,33380.81,123251.189037,214300.7063242761,-89146.95747200002,0.23778663142642295,-82642800.359796,28.73129516428301,-6053318248.930058,-2920018040.8557463,-10556.77999877079,945.3309088490616,37066.66902454038,3469.332,37694.759000000005,41766.4787172443,33623.03928275571,21.60363841161206,-0.029745328703475796,0.0,1.0,37405.225666666665,40118.42566666666,34692.02566666667,14.507063928331496,-0.2416363826232257,0.0,1.0,31000.0,41330.0,36165.0,27.404340216102717,0.23047531461761836,0.0,-665.0016816520802,-214.91403584778567,-450.0876458042945,37694.759000000005,37694.759000000005,37267.074646785964,37932.076328438045,0.0,0.0,0.0,0.3376245312223115,0.5415243017942223,-0.20389977057191078,-0.06878666915538968,15.697923207533169,-177.8530305317539,-22545.94932,1488.2984073505097,1549.2595036877037,-60.96109633719402,36165.0,36165.0,36165.0,36165.0,15355.59462000001,16057.512430000028,16.0,40.0,-24.0,38116.01,39955.5361376512,0.0,0.0,0.0,28.98901940049764,0.0,0.0,0.0,-46.685631664624076,57.290801429618114,23.047531461761835,36.58652066854537,-76.95246853823816,-1765.080999999991,36965.61799589616,0.0,58.626089719401456,58.60855185301364,0.01753786638781918,-10.717970046579062,-11.33699506800916,-13.510036660179658
